SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2
,ocean,0,0.09,0.31,1,0.11,0.02,-0.01,0.02,0.02,0,0.05,0.07,0.08,0.03,0.01,0.12,0,0.03,-0.01,0,0.049473684,0.03375,0.133333333,,,,
,shark,-0.04,0.02,0.14,0.11,1,0.34,0.11,-0.02,0.02,0.05,-0.02,-0.07,0.03,0.01,-0.02,0.1,0.05,-0.04,0,0.06,0.043684211,0.04,0.0575,,,,
,bite,0.06,0.18,0.1,0.02,0.34,1,0.26,0.06,0.01,0.02,0.13,0.09,0.09,0.08,0,0.32,0.06,0.32,0.34,0.13,0.137368421,0.136428571,0.14,,,,
,lip tattoos,0.01,0.11,0.07,-0.01,0.11,0.26,1,0.09,0.07,0.14,0.07,0.15,0.14,0.06,0.08,0.41,0.09,0.21,0.22,0.13,0.126842105,0.143076923,0.091666667,,,,
,ink,-0.04,0.06,0.02,0.02,-0.02,0.06,0.09,1,0.21,0.03,0.06,0.08,0.06,-0.02,0.04,0.09,0.05,0.04,0.04,-0.03,0.044210526,0.054166667,0.027142857,,,,
,art,0,0.04,0.02,0.02,0.02,0.01,0.07,0.21,1,0.09,0.1,0.01,0,0.02,0.03,0.08,0.15,0.07,-0.01,0.1,0.054210526,0.058181818,0.04875,,,,
,Olivia,-0.03,0.04,-0.04,0,0.05,0.02,0.14,0.03,0.09,1,0.14,-0.01,0.04,0.01,0.01,0.11,0.09,0.04,0,-0.02,0.037368421,0.041,0.033333333,,,,
,flowers,0.02,0.08,0.11,0.05,-0.02,0.13,0.07,0.06,0.1,0.14,1,0.35,0.3,0.21,-0.01,0.23,0.03,0.09,0.13,0.16,0.117368421,0.165555556,0.074,,,,
,spring,0.02,0.15,0.13,0.07,-0.07,0.09,0.15,0.08,0.01,-0.01,0.35,1,0.28,0.09,0.04,0.28,0.04,0.11,0.07,-0.01,0.098421053,0.1125,0.088181818,,,,
,green,0.04,0.15,0.18,0.08,0.03,0.09,0.14,0.06,0,0.04,0.3,0.28,1,0.17,0.01,0.24,0.09,0.13,0.17,0.01,0.116315789,0.117142857,0.115833333,,,,
,broccoli,0.08,0.07,-0.03,0.03,0.01,0.08,0.06,-0.02,0.02,0.01,0.21,0.09,0.17,1,0.04,0.03,0.14,0.23,0.4,0.09,0.09,0.155,0.06,,,,
,gross,0.01,0.03,0.05,0.01,-0.02,0,0.08,0.04,0.03,0.01,-0.01,0.04,0.01,0.04,1,0.03,0.04,0.15,0.04,-0.02,0.029473684,0.048,0.022857143,,,,
,inside out,0.17,0.34,0.18,0.12,0.1,0.32,0.41,0.09,0.08,0.11,0.23,0.28,0.24,0.03,0.03,1,0.16,0.29,0.24,0.12,0.186315789,0.2025,0.182,,,,
,movie theater,0.05,0.09,0.02,0,0.05,0.06,0.09,0.05,0.15,0.09,0.03,0.04,0.09,0.14,0.04,0.16,1,0.28,0.1,-0.03,0.078947368,0.116666667,0.071875,,,,
,popcorn,0.15,0.28,0.11,0.03,-0.04,0.32,0.21,0.04,0.07,0.04,0.09,0.11,0.13,0.23,0.15,0.29,0.28,1,0.47,0.14,0.163157895,0.305,0.146470588,,,,
,chocolate,0.13,0.29,0.02,-0.01,0,0.34,0.22,0.04,-0.01,0,0.13,0.07,0.17,0.4,0.04,0.24,0.1,0.47,1,0.11,0.144736842,0.11,0.146666667,,,,
,yum,-0.02,0.15,0.03,0,0.06,0.13,0.13,-0.03,0.1,-0.02,0.16,-0.01,0.01,0.09,-0.02,0.12,-0.03,0.14,0.11,1,0.057894737,,0.057894737,,,,
,,,,,,,,,,,,,,,,,,,,,,0.091263158,0.109988377,0.092200597,,,,
3,Document,toaster,bread,bread,butter,peanuts,walnuts,Walmart,shopper,cashier,bellhop,hotel,Tipton,London,Mosby,Disney,Star Wars,Wookiee,R2D2,Droid,Apple,,,,,,,1
,toaster,1,0.21,0.21,0.21,0.05,0.02,N/A,0.11,0.03,0.02,0.02,0.03,-0.01,N/A,0,-0.01,N/A,N/A,0.01,0.07,0.064666667,0.064666667,,0.299166667,0.217,0.114545455,
,bread,0.21,1,1,0.77,0.34,0.32,N/A,0.11,0.08,0,0.11,0.02,0.07,N/A,-0.02,0.01,N/A,N/A,-0.04,0.37,0.223333333,0.224285714,0.21,,,,
,bread,0.21,1,1,0.77,0.34,0.32,N/A,0.11,0.08,0,0.11,0.02,0.07,N/A,-0.02,0.01,N/A,N/A,-0.04,0.37,0.223333333,0.164615385,0.605,,,,
