SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,chair,0.61,1,0.19,0.14,0.08,0.32,0.04,0.66,0.16,0.28,0.22,0.28,0.08,0.23,0.03,0.08,-0.01,-0.01,0.17,0.24,0.199473684,0.176666667,0.61,,,,
,plate,0.32,0.19,1,0.07,0.1,0.07,0.1,0.3,0.1,0.05,0.09,0.01,0.12,0.15,-0.02,0.11,0,0.01,0.13,0.06,0.103157895,0.085294118,0.255,,,,
,light,0.08,0.14,0.07,1,0.1,0.06,0.08,0.1,0.02,0.08,0.1,0.16,0.09,-0.02,0.01,0.11,0,0.01,0.15,0.07,0.074210526,0.07,0.096666667,,,,
,wood,0.15,0.08,0.1,0.1,1,0.06,0.14,0.17,0.02,0.15,0.12,0,0.13,-0.03,0.01,0.16,0.05,0.02,0.11,0.06,0.084210526,0.078,0.1075,,,,
,homework,0.18,0.32,0.07,0.06,0.06,1,0.04,0.34,0.33,0.18,0.38,0.28,0.13,0.24,0.12,0.05,0,0,0.04,0.09,0.153157895,0.158571429,0.138,,,,
,food,0.08,0.04,0.1,0.08,0.14,0.04,1,0.14,0.04,0.07,0.16,-0.02,0.09,0.04,0.02,0.07,0,0.03,0.06,0.1,0.067368421,0.061538462,0.08,,,,
,kitchen,0.58,0.66,0.3,0.1,0.17,0.34,0.14,1,0.34,0.4,0.35,0.19,0.03,0.36,0.01,0.1,-0.01,0,0.14,0.13,0.227894737,0.17,0.327142857,,,,
,mom,0.1,0.16,0.1,0.02,0.02,0.33,0.04,0.34,1,0.15,0.22,0.19,0.03,0.42,0.01,0.15,0.01,0.01,0.09,0.05,0.128421053,0.120909091,0.13875,,,,
,house,0.14,0.28,0.05,0.08,0.15,0.18,0.07,0.4,0.15,1,0.43,0,0.06,0.02,0.03,0.08,0,0.03,0.19,0.11,0.128947368,0.095,0.166666667,,,,
,home,0.13,0.22,0.09,0.1,0.12,0.38,0.16,0.35,0.22,0.43,1,0.09,0.13,0.14,0.08,0.12,0.03,0.06,0.18,0.18,0.168947368,0.112222222,0.22,,,,
,dorm,0.15,0.28,0.01,0.16,0,0.28,-0.02,0.19,0.19,0,0.09,1,0.06,0.08,-0.01,0.1,0.05,-0.02,0.08,0.15,0.095789474,0.06125,0.120909091,,,,
,pictures,0.07,0.08,0.12,0.09,0.13,0.13,0.09,0.03,0.03,0.06,0.13,0.06,1,0.04,0.05,0.04,0,0.02,0.04,0.06,0.066842105,0.035714286,0.085,,,,
,placemat,0.32,0.23,0.15,-0.02,-0.03,0.24,0.04,0.36,0.42,0.02,0.14,0.08,0.04,1,0.01,0.06,-0.01,0.02,0.04,0.06,0.114210526,0.03,0.153076923,,,,
,program,0.03,0.03,-0.02,0.01,0.01,0.12,0.02,0.01,0.01,0.03,0.08,-0.01,0.05,0.01,1,0.03,0.11,0.06,-0.01,0.03,0.031578947,0.044,0.027142857,,,,
,pit,0.06,0.08,0.11,0.11,0.16,0.05,0.07,0.1,0.15,0.08,0.12,0.1,0.04,0.06,0.03,1,0.05,-0.01,0.22,0.14,0.090526316,0.1,0.088,,,,
,activism,0.04,-0.01,0,0,0.05,0,0,-0.01,0.01,0,0.03,0.05,0,-0.01,0.11,0.05,1,0.04,0,-0.03,0.016842105,0.003333333,0.019375,,,,
,union,0.01,-0.01,0.01,0.01,0.02,0,0.03,0,0.01,0.03,0.06,-0.02,0.02,0.02,0.06,-0.01,0.04,1,0.05,0,0.017368421,0.025,0.016470588,,,,
,rolling,0.13,0.17,0.13,0.15,0.11,0.04,0.06,0.14,0.09,0.19,0.18,0.08,0.04,0.04,-0.01,0.22,0,0.05,1,0.24,0.107894737,0.24,0.100555556,,,,
,legs,0.1,0.24,0.06,0.07,0.06,0.09,0.1,0.13,0.05,0.11,0.18,0.15,0.06,0.06,0.03,0.14,-0.03,0,0.24,1,0.096842105,,0.096842105,,,,
,,,,,,,,,,,,,,,,,,,,,,0.107315789,0.09684901,0.152792011,,,,
104,Document,Table,apple,chair,rug,dog,candle stick,forte,spoon,knife,family,happy,mom,dad,sister,salad,fruit,vegetables,hungry,full,happy,,,,,,,0
,Table,1,0.25,0.61,0.24,0.04,0.21,0,0.45,0.3,0.12,0.19,0.1,0.06,0.12,0.38,0.11,0.09,0.29,0.18,0.19,0.206842105,0.206842105,,0.293157895,0.215,0.168823529,
,apple,0.25,1,0.21,0.17,0.06,0.23,0.03,0.26,0.23,0.05,0.25,0.12,0.1,0.14,0.32,0.47,0.25,0.26,0.26,0.25,0.205789474,0.203333333,0.25,,,,
,chair,0.61,0.21,1,0.43,0.09,0.35,0.06,0.38,0.23,0.11,0.2,0.16,0.12,0.27,0.26,0.05,0.04,0.24,0.34,0.2,0.228947368,0.207647059,0.41,,,,
,rug,0.24,0.17,0.43,1,0.22,0.42,0.09,0.19,0.24,0.09,0.14,0.21,0.19,0.21,0.1,0.02,0.01,0.14,0.18,0.14,0.180526316,0.161875,0.28,,,,
,dog,0.04,0.06,0.09,0.22,1,0.22,-0.01,0.07,0.24,0.06,0.18,0.12,0.07,0.09,0.03,0.01,0,0.26,0.11,0.18,0.107368421,0.108666667,0.1025,,,,
,candle stick,0.21,0.23,0.35,0.42,0.22,1,0.08,0.32,0.48,0.08,0.25,0.01,0.03,0.16,0.11,0.17,0.07,0.28,0.28,0.25,0.210526316,0.183571429,0.286,,,,
,forte,0,0.03,0.06,0.09,-0.01,0.08,1,0.05,0.04,0,0.01,0,-0.01,0.01,-0.01,0.04,0,0.09,0.08,0.01,0.029473684,0.023846154,0.041666667,,,,
